name,legal_entity,brands,website,company_type,presence_in_country,licences,linkedin_url,confidence,notes
Bet on Alfa,Bet On Alfa Ltd,Bet on Alfa,https://www.betonalfa.com.cy,online_sportsbook,Кипрская компания (HQ Кипр),NBA Cyprus Class A + Class B (B005),https://cy.linkedin.com/company/betonalfa,high,Местный оператор; в LinkedIn видны CFO и риск-менеджеры
Stoiximan / Betano,Stoiximan Ltd (группа Kaizen Gaming),Stoiximan; Betano,https://www.stoiximan.com.cy,online_casino_and_sportsbook,Лицензия NBA Cyprus; HQ группы — Афины,NBA Class B (B018),https://www.linkedin.com/company/kaizen-gaming,high,Есть отдельная страница https://www.linkedin.com/company/stoiximan
Novibet,Gamart Ltd,Novibet,https://www.novibet.com.cy,online_casino_and_sportsbook,Лицензия NBA Cyprus,NBA Class B (B022); MGA; HGC; ADM,https://mt.linkedin.com/company/novibet,high,51% у Allwyn с 2025 г.
Fonbet Cyprus,Fortune Entertainment RG Ltd,Fonbet,https://www.fonbet.com.cy,online_sportsbook,Кипрская компания; лицензия NBA,NBA Class B,https://cy.linkedin.com/company/fonbet,high,Работает также в Греции (fonbet.gr)
OPAP Sports (Allwyn Cyprus),OPAP Sports Ltd,Allwynbet; Opapbet,https://www.allwynbet.com.cy,online_sportsbook,Кипрская компания группы OPAP/Allwyn,NBA Class A + Class B,https://cy.linkedin.com/company/opap-sports-ltd,high,
CopyBet,Copybet EU Ltd,CopyBet,https://www.copybet.com.cy,online_sportsbook,Лицензия NBA Cyprus,NBA Class B (B020),https://uk.linkedin.com/company/copybet,high,Есть сотрудники на Кипре
Meridianbet,Meridian Gaming CY,Meridianbet,https://meridianbet.com,online_casino_and_sportsbook,Кипрское юрлицо с лицензией NBA,NBA Class B,https://mt.linkedin.com/company/meridianbet-com,medium,Группа Meridianbet на Nasdaq; основной бизнес на Балканах и в Африке
1xBet,,1xBet,https://1xbet.com,online_casino_and_sportsbook,HQ в Лимасоле (по Wikipedia),Curaçao,https://www.linkedin.com/company/1xbet,medium,Много региональных и партнёрских страниц; взята основная
Parimatch,,Parimatch,https://parimatch.com,online_casino_and_sportsbook,HQ в Лимасоле,Разные (по рынкам),https://cy.linkedin.com/company/parimatch-cyprus,high,Parimatch Tech (https://cy.linkedin.com/company/parimatch-tech1) — технологическое подразделение
Melbet,Alenesro Ltd (биллинг),Melbet,https://melbet.com,online_casino_and_sportsbook,Зарегистрированный офис: Nikou Pattichi 108; Лимасол,Curaçao,https://www.linkedin.com/company/melbetco,medium,Страница melbetco не проверена вручную (требует логина); остальные страницы — партнёрки и региональные
1win,1WIN N.V.,1win,https://1win.com,online_casino_and_sportsbook,ZoomInfo указывает Кипр; в LinkedIn HQ указан Виллемстад,Curaçao,https://www.linkedin.com/company/1win-group,medium,Сейчас позиционирует себя как B2B-экосистему — проверить соответствие критерию «оператор»
Mostbet,Venson Ltd,Mostbet,https://mostbet.com,online_casino_and_sportsbook,Присутствие на Кипре НЕ подтверждено (есть кипрская страница Mostbet Partners),Curaçao,https://www.linkedin.com/company/mostbet,low,Нужна проверка офиса на Кипре
Soft2Bet,Estata Ltd,CampoBet; YoyoCasino; LightCasino; ZulaBet; Betinia,https://soft2bet.com,hybrid_operator_and_provider,HQ в Лимасоле,MGA; SGA; DGA и др.,https://cy.linkedin.com/company/soft2bet,medium,Одновременно оператор брендов и B2B-платформа — решите сами; включать ли
Maxbet Entertainment Group,Maxbet Entertainment Group Plc,Maxbet,,land_based_casino,Кипрская Plc; сотрудники в Лимасоле,,https://cy.linkedin.com/company/maxbet-entertainment-group-plc,medium,Слот-залы в Центральной и Восточной Европе (офлайн); не путать с сербским MaxBet (Flutter)
City of Dreams Mediterranean,Integrated Casino Resorts Cyprus Ltd (Melco),City of Dreams Mediterranean; Cyprus Casinos (C2),https://www.cityofdreamsmed.com.cy,land_based_casino,Курорт-казино в Лимасоле + сателлитные казино,Cyprus Gaming & Casino Supervision Commission,https://cy.linkedin.com/company/city-of-dreams-mediterranean,high,Наземное казино (не онлайн); единственный легальный оператор казино в РК
Hititbet,,Hititbet,http://www.hititbet.com,online_casino_and_sportsbook,Северный Кипр (телефон +90 392),Alderney (по ZoomInfo),https://www.linkedin.com/company/hititbet,medium,Северный Кипр — отдельная юрисдикция; включать ли — решите сами
bet365 Cyprus,,bet365,https://www.bet365.com.cy,online_sportsbook,Только лицензия NBA; HQ в Великобритании,NBA Class B (B001),,medium,LinkedIn не искал: это глобальная компания без кипрского офиса
